"SAMPLEID"	"INDEX_NAME"	"SITE_TYPE"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"
"10000"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"10001"	"BCG_CT_2015"	"fish02"	0	0	0	0	1	0
"10002"	"BCG_CT_2015"	"fish01"	0	0.75	0.25	0	0	0
"10003"	"BCG_CT_2015"	"fish01"	0.609375	0.390625	0	0	0	0
"10004"	"BCG_CT_2015"	"fish01"	0.013157894736842	0.5	0.48684211	0	0	0
"10124"	"BCG_CT_2015"	"fish01"	0	0	0	0	1	0
"10496"	"BCG_CT_2015"	"fish02"	0	0	0	0	0	1
"10498"	"BCG_CT_2015"	"fish02"	0	0	0.15201465201465	0.84798535	0	0
"10500"	"BCG_CT_2015"	"fish01"	0	0	0.5	0.5	0	0
"10501"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"10508"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"10582"	"BCG_CT_2015"	"fish01"	0	0	0	0	1	0
"10583"	"BCG_CT_2015"	"fish03"	0	0	0	1	0	0
"10589"	"BCG_CT_2015"	"fish03"	0	0.31818181818182	0.68181818	0	0	0
"10590"	"BCG_CT_2015"	"fish02"	0	0	0.0548780487804875	0.94512195	0	0
"10628"	"BCG_CT_2015"	"fish02"	0	1	0	0	0	0
"10629"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"10630"	"BCG_CT_2015"	"fish01"	0	0.25	0.75	0	0	0
"10712"	"BCG_CT_2015"	"fish03"	0	0	0	1	0	0
"10714"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"10716"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"10717"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"10754"	"BCG_CT_2015"	"fish01"	1	0	0	0	0	0
"10759"	"BCG_CT_2015"	"fish01"	0	0	0	0	1	0
"10802"	"BCG_CT_2015"	"fish02"	0	0	0.806122448979592	0.19387755	0	0
"10804"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"10861"	"BCG_CT_2015"	"fish02"	0	0	0	0.94444444444444	0.05555556	0
"10863"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"10864"	"BCG_CT_2015"	"fish03"	0	0	1	0	0	0
"10974"	"BCG_CT_2015"	"fish02"	0	0	0.731788079470198	0.26821192	0	0
"10979"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"10986"	"BCG_CT_2015"	"fish03"	0	0.29136690647482	0.70863309	0	0	0
"10990"	"BCG_CT_2015"	"fish01"	0	0	0	0	1	0
"10993"	"BCG_CT_2015"	"fish01"	0	0	1	0	0	0
"10994"	"BCG_CT_2015"	"fish01"	0	0	0	0	1	0
"10995"	"BCG_CT_2015"	"fish01"	0	0.75	0.25	0	0	0
"10998"	"BCG_CT_2015"	"fish01"	0	0	0	1	0	0
"11066"	"BCG_CT_2015"	"fish03"	0	0.093816631130065	0.843816631130065	0.06236674	0	0
"11067"	"BCG_CT_2015"	"fish01"	0.75	0.25	0	0	0	0
"11069"	"BCG_CT_2015"	"fish01"	0	0	0	1	0	0
"11122"	"BCG_CT_2015"	"fish02"	0	0.20731707317073	0.79268293	0	0	0
"11164"	"BCG_CT_2015"	"fish03"	0	0	0	0	1	0
"11165"	"BCG_CT_2015"	"fish03"	0	0	0	0.77586206896552	0.22413793	0
"11172"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"11224"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"11225"	"BCG_CT_2015"	"fish01"	0	0	0.25	0.75	0	0
"11227"	"BCG_CT_2015"	"fish01"	0	0	0	0.666666666666667	0.33333333	0
"11228"	"BCG_CT_2015"	"fish02"	0	0	0.586887835703002	0.41311216	0	0
"11229"	"BCG_CT_2015"	"fish02"	0	0.51923076923077	0.48076923	0	0	0
"11240"	"BCG_CT_2015"	"fish01"	0	0	0	1	0	0
"11481"	"BCG_CT_2015"	"fish03"	0	0	0	0	1	0
"11483"	"BCG_CT_2015"	"fish03"	0	0	0.457627118644068	0.54237288	0	0
"11564"	"BCG_CT_2015"	"fish01"	0	0.25	0.75	0	0	0
"12003"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"12004"	"BCG_CT_2015"	"fish02"	0	0	0	0	1	0
"12099"	"BCG_CT_2015"	"fish02"	0	0.21597633136095	0.78402367	0	0	0
"12223"	"BCG_CT_2015"	"fish01"	0	0	1	0	0	0
"12243"	"BCG_CT_2015"	"fish01"	0	0	0.5	0.5	0	0
"12534"	"BCG_CT_2015"	"fish03"	0	0	0	1	0	0
"12535"	"BCG_CT_2015"	"fish03"	0	0	0	0	1	0
"12536"	"BCG_CT_2015"	"fish03"	0	0	0.0222222222222199	0.97777778	0	0
